PART #,REMARKS,YEAR,MONTH,MTH.LBR.HR,MTH.LAB.OVER.HR,MTH.LAB.AMT,YTD.OVERHEAD,TOTAL.MATERIAL,TOTAL
3200,PACIFIC 3661 HYDRAULIC,2015,4,0,0,0,,-27821.02,-27821.02
4700,GENERAL SUPPORT @ 4700 COLORADO AVE S,2015,12,0,0,0,,-9502.44,-9502.44
3405,"GENERAL SUPPORT EQUIP. AIR HOSES, WATER HOSES, HY-CYCLE DROP CORDS, HAND TOOLS",2015,5,0,0,0,,-7980.78,-7980.78
27402,"CINCINNATI MOD# 2CC12, 1/4"" X 12' S/N 43941  W/ACCESSORIES",2015,10,0,0,0,,-4018.16,-4018.16
27402,COMBI-LIFT 2006 10000 LB CAP S/N 6931 MDL CL20100LA55,2015,3,0,0,0,,-2189.04,-2189.04
75 S,"WHSE, 10,229 SQ FT LEASED TO WASTE MGMT.",2015,10,0,0,0,,-2131.97,-2131.97
75 S,"WHSE, 10,229 SQ FT LEASED TO WASTE MGMT.",2015,10,0,0,0,,-2131.97,-2131.97
4700,HERR-VOSS CUT TO LENGTH LINE,2015,9,0,0,0,,-558.8,-558.8
27402,1999 INTERNATIONAL LIC# B27933P VIN# 2HSFPAEN9XC023593,2015,5,0,0,0,,-363.56,-363.56
3200,I-R 1 T AIR CRANE 16196 R0J04245V ,2015,12,0,0,0,,-100.25,-100.25
3301,ROBBINS & MEYERS 5 TON NO.BAY WEST END,2015,1,0,0,0,0,-96.15,-96.15
3301,ROBBINS & MYERS 5 TON BRIDGE CRANE SERIAL # 38943 JA2,2015,1,0,0,0,0,-96.15,-96.15
3301,ROBBINS & MYERS 5 TON BRIDGE CRANE SERIAL # 38943 JA4,2015,1,0,0,0,0,-96.15,-96.15
3200,HORIZONTAL SLUDGE PRESS,2015,5,0,0,0,,-37.71,-37.71
3405,ROBBINS & MEYERS 15 TON BRIDGE CRANE HIGH BAY EAST END.  SERIAL # 36431 FA1,2015,1,0,0,0,0,-8.66,-8.66
3223,ROBBINS & MEYERS 5 TON BRIDGE CRANE NORTH BAY ROBBINS & MEYERS H2-1616,2015,1,0,0,0,0,-8.66,-8.66
3405,ROBBINS & MEYERS 5 TON BRIDGE CRANE NORTH BAY WEST END.  SERIAL # 32006 DB1,2015,1,0,0,0,0,-8.66,-8.66
3301,ROBBINS & MEYERS  S/N 38942 JA2,2015,1,0,0,0,0,-8.65,-8.65
3317,ROBBINS & MEYERS 5 TON BRIDGE CRANE EAST S/N 32007 DBI ,2015,1,0,0,0,0,-8.65,-8.65
3317,ROBBINS & MEYERS BRIDGE CRANE CENTER  S/N 32007 DB2,2015,1,0,0,0,0,-8.65,-8.65
