JOB #,PART #,REMARKS,YEAR,MONTH,MTH.LBR.HR,MTH.LAB.OVER.HR,MTH.LAB.AMT,YTD.OVERHEAD,TOTAL.MATERIAL,TOTAL
1203,3200,PACIFIC 3661 HYDRAULIC,2015,4,0,0,0,,-27821.02,-27821.02
3563,4700,GENERAL SUPPORT @ 4700 COLORADO AVE S,2015,12,0,0,0,,-9502.44,-9502.44
3483,3405,"GENERAL SUPPORT EQUIP. AIR HOSES, WATER HOSES, HY-CYCLE DROP CORDS, HAND TOOLS",2015,5,0,0,0,,-7980.78,-7980.78
3011,27402,"CINCINNATI MOD# 2CC12, 1/4" X 12' S/N 43941  W/ACCESSORIES""INCINNATI MOD# 2CC12, 1/4" X 12""NCINN",2015,10,0,0,0,,-4018.16,-4018.16
6603,27402,COMBI-LIFT 2006 10000 LB CAP S/N 6931 MDL CL20100LA55,2015,3,0,0,0,,-2189.04,-2189.04
6823,75 S,"WHSE, 10,229 SQ FT LEASED TO WASTE MGMT.",2015,10,0,0,0,,-2131.97,-2131.97
6823,75 S,"WHSE, 10,229 SQ FT LEASED TO WASTE MGMT.",2015,10,0,0,0,,-2131.97,-2131.97
5015,4700,HERR-VOSS CUT TO LENGTH LINE,2015,9,0,0,0,,-558.8,-558.8
6550,27402,1999 INTERNATIONAL LIC# B27933P VIN# 2HSFPAEN9XC023593,2015,5,0,0,0,,-363.56,-363.56
2407,3200,I-R 1 T AIR CRANE 16196 R0J04245V ,2015,12,0,0,0,,-100.25,-100.25
2448,3301,ROBBINS & MEYERS 5 TON NO.BAY WEST END,2015,1,0,0,0,0,-96.15,-96.15
2447,3301,ROBBINS & MYERS 5 TON BRIDGE CRANE SERIAL # 38943 JA2,2015,1,0,0,0,0,-96.15,-96.15
2446,3301,ROBBINS & MYERS 5 TON BRIDGE CRANE SERIAL # 38943 JA4,2015,1,0,0,0,0,-96.15,-96.15
2021,3200,HORIZONTAL SLUDGE PRESS,2015,5,0,0,0,,-37.71,-37.71
2429,3405,ROBBINS & MEYERS 15 TON BRIDGE CRANE HIGH BAY EAST END.  SERIAL # 36431 FA1,2015,1,0,0,0,0,-8.66,-8.66
2403,3223,ROBBINS & MEYERS 5 TON BRIDGE CRANE NORTH BAY ROBBINS & MEYERS H2-1616,2015,1,0,0,0,0,-8.66,-8.66
2432,3405,ROBBINS & MEYERS 5 TON BRIDGE CRANE NORTH BAY WEST END.  SERIAL # 32006 DB1,2015,1,0,0,0,0,-8.66,-8.66
2445,3301,ROBBINS & MEYERS  S/N 38942 JA2,2015,1,0,0,0,0,-8.65,-8.65
2436,3317,ROBBINS & MEYERS 5 TON BRIDGE CRANE EAST S/N 32007 DBI ,2015,1,0,0,0,0,-8.65,-8.65
2435,3317,ROBBINS & MEYERS BRIDGE CRANE CENTER  S/N 32007 DB2,2015,1,0,0,0,0,-8.65,-8.65
2433,3405,ROBBINS & MYERS 5 TON BRIDGE CRANE NORTH BAY EAST END. SERIAL # 32006 DB2,2015,1,0,0,0,0,-8.65,-8.65
2434,3317,WEST  S/N AT 207926,2015,1,0,0,0,0,-8.65,-8.65
7264,3200,"MITUTOYO 24" DIGITAL CALIPER""ITUTOYO 24" DIGI""TUTOY",2015,11,0,0,0,,4.16,4.16
2226,3200,HYCLE GRINDERS,2015,8,0,0,0,,5.12,5.12
6678,3200,MDL #S150A S/N A24D2532T SCRAPPED  10/25/12 - NOT REPLACED,2015,10,0.25,0,5.32,,0,5.32
3527,628,GENERAL SUPPORT EQUIPMENT,2015,4,0,0,0,,6.28,6.28
6680,3200,HYSTER 6000# 1985 S/N D002D1321F  MOD# S60ES,2015,7,0.25,0,6.31,,0,6.31
5009,3405,PINES ENGR. MOD 5-12 S/N 17200-70254,2015,11,0,0,0,,8.86,8.86
6658,3317,"HYSTER 1997 8000 LB CAP, MDL S80XLBCS S/N D004D03646U, 3300 HRS, M109293",2015,5,0,0,0,,10.01,10.01
5723,3200,"SIVLER STAR RECOVERY SYSTEM CONTROL S/N #4208, PUMP S/N #207137",2015,4,0,0,0,,12.29,12.29
5723,3200,"SIVLER STAR RECOVERY SYSTEM CONTROL S/N #4208, PUMP S/N #207137",2015,5,0,0,0,,12.29,12.29
4017,3405,PANJIRIS MOD. MVRMT 30-6 S/N 800-3937-4 CAP. 3000 LBS,2015,3,0,0,0,,12.31,12.31
6654,2958,"HYSTER 1998 6000 LB CAP FORKLIFT H60XM S/N D177B44951V 5000 HRS, M03681",2015,3,0,0,0,,12.56,12.56
4655,3200,DOALL SAW TF-14-H S/N36380395 1 X 172 MOVED TO 3400 FOR STORAGE 2-6-03,2015,5,0.72,0,13.44,,0,13.44
2010,3200,PH CONTROL SYSTEM AT 3200,2015,7,0,0,0,,14.03,14.03
6812,2440,"2440 SE RAYMOND, PORTLAND, OR. OFFICE &  WAREHOUSE.",2015,5,0,0,0,,18.52,18.52
1201,3200,COINING PRESS SERIAL #1696,2015,4,1,0,18.67,,0,18.67
4202,3200,GENERAL ELECTRIC EL7215008 VOLTS:230 CYCLE:360 AMPS:120,2015,9,0,0,0,,21.95,21.95
5825,628,"REZNOR MDL RA500, S/N BDCRA50011004X",2015,2,0,0,0,,23.41,23.41
7221,27402,"STARRETT 0-1" DIGITAL MICROMETER  MODEL 216""TARRETT 0-1" DIGITAL MICROMETE""ARRETT 0-1" DIGITA""RRETT 0",2015,3,0,0,0,,25.98,25.98
7263,27402,"FOWLER 0-1" ELECTRONIC DIGITAL MIC.""OWLER 0-1" ELECTRONIC DI""WLER 0-1" ELEC""LER 0",2015,3,0,0,0,,25.99,25.99
6487,27402,FRUEHAUF FLATBED TRAILER 27' VIN 1H4P02816GJ020201,2015,5,0,0,0,,26.26,26.26
6332,27402,"STARRETT 0-1" TUBE MIC 02""TARRETT 0-1"""",2015,7,0,0,0,,26.26,26.26
6308,628,MOD#  A 22432-4,2015,3,0,0,0,,27.5,27.5
6307,628,MOD# A-22432-3,2015,3,0,0,0,,27.5,27.5
6218,4700,STARETT MICROMETER MOD# 436,2015,6,0,0,0,,27.5,27.5
6239,4700,"STARRETT 0-1" MICROMETER MOD#436-1""TARRETT 0-1" MICROMET""ARRETT 0-",2015,6,0,0,0,,27.5,27.5
7212,2958,"STARRETT 12" SCALE""TARRET",2015,12,0,0,0,,27.5,27.5
7295,3405,STARRETT MODEL NO. C310R-24 SN#  12/#13504130,2015,1,0,0,0,0,27.5,27.5
6249,27402,"STARRETT 6" PRECISION SQUARE MOD# 20""TARRETT 6" PRECISION SQUA""ARRETT 6" PRECI""RRETT ",2015,7,0,0,0,,27.95,27.95
6256,27402,"STARRETT MIC 1-2"""",2015,3,0,0,0,,28.15,28.15
7274,27402,"SPI 0-1" MICROMETER S/N 100483325""PI 0-1" MICROMETER S/N 10""I 0-1" MICROMETER "" 0-1" MICROM""0-1" MI""-1"""",2015,7,0,0,0,,28.45,28.45
3595,1333,GENERAL SUPPORT FOR SAN DIEGO,2015,4,0,0,0,,29.17,29.17
5525,3200,"MISC. WELD. APP.,INCLUDES LINDE'S FOR  HOT WIRE @ 5559, 1019, 1010, 1002.",2015,3,0,0,0,,30,30
5207,3200,"1952 WMS./WHITE HYD. PRESS, S/N C-2882 36" X 144" X 2" THICK BED, GE 20HP MTR.""952 WMS./WHITE HYD. PRESS, S/N C-288",2015,5,0,0,0,,31.92,31.92
6237,27402,"STARRETT - 0 - 1" TUBE MOD# 569""TARRETT - 0 - ",2015,10,0,0,0,,32.16,32.16
3414,3317,ACCO POWER UNIT FOR MULTI PAD VACU LIFT,2015,10,0,0,0,,32.59,32.59
3400,27402,ANVER MECHANICAL 700# MAX CAP@3008 SHEAR,2015,10,0,0,0,,32.59,32.59
3474,27402,"ANVER MECHANICAL MOD 2505 S/N 490278 2500# MAX CAP. @4651, SAW MFG 8-90",2015,10,0,0,0,,32.59,32.59
3572,4700,"SHEET LIFTER  10,000 LB CAPACITY 72" MAX. SHEET WIDTH  MFG DATE 1997""HEET LIFTER  10,000 LB CAPACITY ",2015,10,0,0,0,,32.59,32.59
6539,27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,1,0,0,0,0,32.79,32.79
6539,27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,10,0,0,0,,32.79,32.79
6539,27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,11,0,0,0,,32.79,32.79
6545,27402,1998 INTERNATIONAL VIN #2HSFPANXWC062882 LIC# A31711P,2015,10,0,0,0,,32.79,32.79
6542,27402,1999 INTERNATIONAL 2HSFPAENOXC02591 LIC#A21146U,2015,10,0,0,0,,32.79,32.79
6558,27402,2006 INTERNATIONAL 8600 TRACTOR VIN # 1HSHXAHR36J248955,2015,10,0,0,0,,32.79,32.79
6557,27402,"INTERNATIONAL TRACTOR 9200, 2006 2HSCEAPR26H234464, M07143",2015,10,0,0,0,,32.79,32.79
6544,628,1987 CHEV ASTRO VAN LIC # 893-YBP VIN  #1GNDM15Z9HB254574,2015,11,0,0,0,,32.8,32.8
6556,628,"FORD RANGER 2003, VIN# 1FTYR10DX3PB51909 LIC# B28201H",2015,11,0,0,0,,32.8,32.8
6537,2440,1996 FOR LA9000 LIC# LACH558 VIN# 1FTYS95L8TVA08374,2015,9,0,0,0,,32.81,32.81
6510,2440,"INTERNATIONAL 9100, 1999, M10559 VIN2HSFPAEN7XC023592",2015,6,0,0,0,,32.81,32.81
6553,2440,PETERBUILT 2002 LIC# YAFD402 MDL# 330 VIN# 2XPNAZ7X82M580905,2015,7,0,0,0,,32.81,32.81
6552,2440,PETERBUILT 2002 TRACTOR MLD 330 LI# YAFD401 VIN# 2XPNAZ7X62M580904,2015,9,0,0,0,,32.81,32.81
6555,27402,"PETERBUILT 378, 2006, 80,000 GVW, MO5898 VIN 1XPFD49X86D643847, LIC. # B75616P",2015,7,0,0,0,,32.81,32.81
6539,27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,6,0,0,0,,32.82,32.82
6539,27402,1998 INTERNATIONAL LIC # B21675T VIN # 1HSHBAHN2XH624680 M11877,2015,7,0,0,0,,32.82,32.82
6545,27402,1998 INTERNATIONAL VIN #2HSFPANXWC062882 LIC# A31711P,2015,4,0,0,0,,32.82,32.82
6542,27402,1999 INTERNATIONAL 2HSFPAENOXC02591 LIC#A21146U,2015,9,0,0,0,,32.82,32.82
6550,27402,1999 INTERNATIONAL LIC# B27933P VIN# 2HSFPAEN9XC023593,2015,9,0,0,0,,32.82,32.82
6541,27402,2001 INTERNATIONAL LIC# B31622L MDL 8100 VIN 1HSHBAHNX1H265587,2015,6,0,0,0,,32.82,32.82
